country,freedom2018,score2018,freedom2019,score2019,freedom2020,score2020,score2016,freedom2016,score2017,freedom2017
Afghanistan,0.085,3.632,0,3.203,0.396573007,2.566900015,3.36,0.1643,3.79399991,0.10617952
Albania,0.419,4.586,0.383,4.719,0.781994224,4.882699966,4.655,0.31866,4.644000053,0.381498635
Algeria,0.077,5.295,0.086,5.211,0.466610909,5.005099773,6.355,0.21006,5.872000217,0.233335808
Angola,3.795,0,0,0,0,0,3.866,0.00589,3.795000076,0
Antarctica,0,0,0,0,0,0,0,0,0,0
Argentina,0.57,6.388,0.471,6.086,0.831132412,5.974699974,6.65,0.42284,6.598999977,0.494519204
Armenia,0.26,4.321,0.283,4.559,0.712017834,4.676799774,4.36,0.14037,4.375999928,0.198303267
Australia,0.647,7.272,0.557,7.228,0.915431738,7.222799778,7.313,0.56837,7.28399992,0.601607382
Austria,0.617,7.139,0.532,7.246,0.899989486,7.294199944,7.119,0.54355,7.006000042,0.56776619
Azerbaijan,0.43,5.201,0.351,5.208,0.786824107,5.164800167,5.291,0.35327,5.234000206,0.398155838
Bahrain,0.594,6.105,0.536,6.199,0.905855775,6.227300167,6.218,0.47375,6.086999893,0.536746919
Bangladesh,0.58,4.5,0.527,4.456,0.90062499,4.832799911,4.643,0.39778,4.607999802,0.478356659
Belarus,0.307,5.483,0.235,5.323,0.639163077,5.539899826,5.802,0.29091,5.568999767,0.295400262
Belgium,0.583,6.927,0.473,6.923,0.813582063,6.863500118,6.929,0.51354,6.890999794,0.539770722
Belize,5.956,0.593,0,0,0,0,5.956,0.51231,5.955999851,0.547509372
Benin,0.44,4.141,0.349,4.883,0.735182583,5.21600008,3.484,0.39747,3.657000065,0.425962776
Bhutan,5.082,0.541,5.082,0.457,0,0,5.196,0.46074,5.011000156,0.501537681
Bolivia,0.606,5.752,0.511,5.779,0.875873327,5.747499943,5.822,0.50961,5.822999954,0.558732927
Bosnia and Herzegovina,0.28,5.129,0.212,5.386,0.651352704,5.674099922,5.163,0.09511,5.18200016,0.204403177
Botswana,0.557,3.59,0.455,3.488,0.821328104,3.478899956,3.974,0.44089,3.766000032,0.505196333
Brazil,0.493,6.419,0.39,6.3,0.799804807,6.375599861,6.952,0.40425,6.635000229,0.437453747
Bulgaria,0.359,4.933,0.311,5.011,0.745178163,5.101500034,4.217,0.21219,4.714000225,0.289231718
Burkina Faso,0.312,4.424,0.255,4.587,0.665563583,4.768700123,3.739,0.3337,4.032000065,0.324367851
Burundi,0.065,2.905,0.22,3.775,0.626350224,3.775300026,2.905,0.0432,2.904999971,0.059900753
Cambodia,0.696,4.433,0.609,4.7,0.959704638,4.848400116,3.907,0.58852,4.168000221,0.633375823
Cameroon,0.454,4.975,0.381,5.044,0.763051808,5.084899902,4.513,0.42736,4.695000172,0.430388749
Canada,0.653,7.328,0.584,7.278,0.933913231,7.23210001,7.404,0.5737,7.315999985,0.611100912
Central African Republic,0.305,3.083,0.225,3.083,0.640880644,3.475899935,0,0,2.693000078,0.270842046
Chad,0.189,4.301,0.174,4.35,0.587305248,4.422699928,3.763,0.12807,3.936000109,0.162342027
Chile,0.431,6.476,0.357,6.444,0.744896293,6.228499889,6.705,0.37789,6.65199995,0.376895279
China,0.597,5.246,0.521,5.191,0.898517907,5.123899937,5.245,0.44012,5.272999763,0.472787708
Colombia,0.531,6.26,0.47,6.125,0.836179912,6.163400173,6.481,0.44735,6.356999874,0.477487415
Costa Rica,0.632,7.072,0.558,7.167,0.934738934,7.121399879,7.087,0.55225,7.078999996,0.58013165
Croatia,0.38,5.321,0.296,5.432,0.714838803,5.504700184,5.488,0.23907,5.293000221,0.255772293
Cuba,0,0,0,0,0,0,0,0,0,0
Cyprus,0.423,5.762,0.406,6.046,0.779858291,6.15899992,5.546,0.29507,5.620999813,0.355111539
Czech Republic,0.543,6.711,0.457,6.852,0.818537354,6.910900116,6.596,0.41418,6.609000206,0.490946174
Democratic Republic of the Congo,0.514,4.559,0.372,4.812,0.719058514,5.194399834,4.236,0.37938,4.290999889,0.435025871
Denmark,0.683,7.555,0.592,7.6,0.951444268,7.645599842,7.526,0.57941,7.521999836,0.626006722
Djibouti,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0.578,5.302,0.497,5.425,0.866202772,5.689199924,5.155,0.52259,5.230000019,0.552589834
Ecuador,0.556,5.973,0.498,6.028,0.859828949,5.925199986,5.976,0.4027,6.007999897,0.455198199
Egypt,0.312,4.419,0.241,4.166,0.708354175,4.151400089,4.362,0.18847,4.735000134,0.282110155
El Salvador,0.461,6.167,0.43,6.253,0.833805263,6.34829998,6.068,0.37269,6.002999783,0.43245253
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0
Estonia,0.553,5.739,0.495,5.893,0.87770915,6.021800041,5.517,0.41511,5.611000061,0.47913143
Ethiopia,0.452,4.35,0.344,4.286,0.740795195,4.186200142,4.508,0.36703,4.460000038,0.408842742
Falkland Islands,0,0,0,0,0,0,0,0,0,0
Finland,0.681,7.632,0.596,7.769,0.949172199,7.808700085,7.413,0.57104,7.468999863,0.617950857
France,0.52,6.489,0.436,6.592,0.825467646,6.663799763,6.478,0.46562,6.441999912,0.470222116
French Southern and Anatarctic Lands,0,0,0,0,0,0,0,0,0,0
Gabon,0.356,4.758,0.295,4.799,0.704829216,4.829299927,4.121,0.28098,4.465000153,0.312328577
